name,url
Географічний факультет,https://knu.ua//ua/departments/geography/
Економічний факультет,https://knu.ua//ua/departments/economics/
Історичний факультет,https://knu.ua//ua/departments/history/
Механіко-математичний факультет,https://knu.ua//ua/departments/mm/
Факультет інформаційних технологій,https://knu.ua//ua/departments/it/
Факультет комп'ютерних наук та кібернетики,https://knu.ua//ua/departments/csc/
Факультет психології,https://knu.ua//ua/departments/psychology/
"Факультет радіофізики, електроніки та комп’ютерних систем",https://knu.ua//ua/departments/recs/
Факультет соціології,https://knu.ua//ua/departments/sociology/
Фізичний факультет,https://knu.ua//ua/departments/physics/
Філософський факультет,https://knu.ua//ua/departments/philosophy/
Хімічний факультет,https://knu.ua//ua/departments/chemistry/
Кафедра аналітичної хімії,No URL
Кафедра неорганічної хімії,No URL
Кафедра органічної хімії,No URL
Кафедра фізичної хімії,No URL
Кафедра хімії високомолекулярних сполук,No URL
Кафедра алгебри і комп’ютерної математики,No URL
Кафедра загальної математики,No URL
Кафедра інтегральних та диференціальних рівнянь,No URL
Кафедра математичного аналізу,No URL
Кафедра математичної фізики,No URL
Кафедра комп’ютерних методів механіки і процесів керування,No URL
Кафедра теоретичної та прикладної механіки,No URL
"Кафедра теорії ймовірностей, статистики та актуарної математики",No URL
Кафедра археології та музеєзнавства,No URL
Кафедра архівознавства та спеціальних галузей історичної науки,No URL
Кафедра давньої і нової історії України,No URL
Кафедра етнології та краєзнавства,No URL
Кафедра історії мистецтв,No URL
Кафедра історії Центральної та Східної Європи,No URL
Кафедра історії стародавнього світу та середніх віків,No URL
Кафедра новітньої історії України,No URL
Кафедра нової та новітньої історії зарубіжних країн,No URL
Кафедра української історії і етнополітики,No URL
Кафедра екологічного менеджменту та підприємництва,No URL
Кафедра економічної кібернетики,No URL
Кафедра економіки підприємства,No URL
"Кафедра економічної теорії, макро- і мікроекономіки",No URL
Кафедра іноземних мов,No URL
Кафедра менеджменту інноваційної та інвестиційної діяльності,No URL
Кафедра міжнародної економіки та маркетингу,No URL
Кафедра обліку та аудиту,No URL
Кафедра підприємництва,No URL
"Кафедра страхування, банківської справи та ризик-менеджменту",No URL
Кафедра статистики та демографії,No URL
Кафедра фінансів,No URL
Кафедра загальної психології,No URL
Кафедра педагогіки,No URL
Кафедра психодіагностики та клінічної психології,No URL
Кафедра психології розвитку,No URL
Кафедра соціальної психології,No URL
Кафедра соціальної реабілітації та соціальної педагогіки,No URL
Кафедра соціальної роботи,No URL
Кафедра державного управління,No URL
"Кафедра етики, естетики і культурології",No URL
Кафедра історії філософії,No URL
Кафедра логіки,No URL
Кафедра політичних наук,No URL
Кафедра політології,No URL
Кафедра релігієзнавства,No URL
Кафедра теоретичної і практичної філософії,No URL
Кафедра української філософії та культури,No URL
Кафедра філософії гуманітарних наук,No URL
Кафедра філософії та методології науки,No URL
Кафедра електрофізики,No URL
Кафедра квантової радіофізики та наноелектроніки,No URL
Кафедра комп'ютерної інженерії,No URL
Кафедра математики та теоретичної радіофізики,No URL
Кафедра медичної радіофізики,No URL
Кафедра радіотехніки та радіоелектронних систем,No URL
Кафедра фізичної електроніки,No URL
Кафедра інтелектуальних технологій,http://kiis.knu.ua/
Кафедра інформаційних систем та технологій,https://www.ist.knu.ua/
Кафедра кібербезпеки та захисту інформації,http://kbzi.knu.ua/
Кафедра мережевих та Інтернет технологій,http://nitd.knu.ua/
Кафедра прикладних інформаційних систем,http://ais.knu.ua/
Кафедра програмних систем і технологій,http://pst.knu.ua/
Кафедра технологій управління,http://pm.fit.knu.ua/
Кафедра дослідження операцій,http://csc.knu.ua/uk/department/or
Кафедра інтелектуальних програмних систем,https://iss.csc.knu.ua/
Кафедра математичної інформатики,http://csc.knu.ua/uk/department/mi
Кафедра моделювання складних систем,http://csc.knu.ua/uk/department/csm
Кафедра обчислювальної математики,http://csc.knu.ua/uk/department/cm
Кафедра прикладної статистики,http://csc.knu.ua/uk/department/as
Кафедра системного аналізу і теорії прийняття рішень,http://csc.knu.ua/uk/department/sadmt
Кафедра теоретичної кібернетики,http://csc.knu.ua/uk/department/tc
Кафедра теорії та технології програмування,http://csc.knu.ua/uk/department/ttp
Кафедра галузевої соціології,No URL
Кафедра методології та методів соціологічних досліджень,No URL
Кафедра соціальних структур та соціальних відносин,No URL
Кафедра теорії та історії соціології,No URL
Кафедра астрономії та фізики космосу,No URL
Кафедра експериментальної фізики,No URL
Кафедра загальної фізики,No URL
Кафедра квантової теорії поля,No URL
Кафедра молекулярної фізики,No URL
Кафедра оптики,No URL
Кафедра теоретичної фізики,No URL
Кафедра фізики металів,No URL
Кафедра фізики функціональних матеріалів,No URL
Кафедра ядерної фізики,No URL
Кафедра географії України,No URL
Кафедра геодезії та картографії,No URL
Кафедра гідрології та гідроекології,No URL
Кафедра економічної та соціальної географії,No URL
Кафедра землезнавства та геоморфології,No URL
Кафедра країнознавства та туризму,No URL
Кафедра метеорології та кліматології,No URL
Кафедра фізичної географії та геоекології,No URL
